# LastModified: 2023-09-13T05:39:15.895117Z
Aged Brie	2022-08-10	23
Amulet of Absorbing	2022-08-05	0
Amulet of Youth	2022-08-31	37
Chest of Eternal Health	2022-09-09	23
Conjured Banana	2022-08-27	0
Conjured Holy Band	2022-08-13	3
Cursed Rabbits Foot	2022-08-27	15
Deepstar Polyp	2022-08-06	0
Eternal Ring	2022-08-09	0
Eternity Chest	2022-08-25	46
Eternity Stone	2022-08-14	13
Guardian Box	2022-08-24	16
Guardian Box	2022-08-12	14
Hand of Oblivion	2022-08-26	3
Impurity Seal	2022-09-02	23
Inscrutable Quantum Device	2022-08-11	19
Instrument of Restoration	2022-08-29	6
Malediction Mirror	2022-08-05	0
Mask of Virility	2022-08-13	46
Massacre Pillar	2022-08-08	0
Pillar of Dreams	2022-08-27	43
Revelation Key	2022-08-31	45
Shield of Evils	2022-08-24	31
Sulfuras, Hand of Ragnaros		80
Sulfuras, Hand of Ragnaros		70
Termination Statue	2022-08-12	3
Thunder Horn	2022-08-11	0
Tome of Fate	2022-09-04	6
Urn of Riddles	2022-09-06	30
