# LastModified: 2024-02-05T07:19:43.115186Z
AB1	Aged Brie	2022-08-10	50
AOA1	Amulet of Absorbing	2022-08-05	0
AOY1	Amulet of Youth	2022-08-31	0
COEH1	Chest of Eternal Health	2022-09-09	0
CB1	Conjured Banana	2022-08-27	0
CHB1	Conjured Holy Band	2022-08-13	0
CRF1	Cursed Rabbits Foot	2022-08-27	0
DP1	Deepstar Polyp	2022-08-06	0
ER1	Eternal Ring	2022-08-09	0
EC1	Eternity Chest	2022-08-25	0
ES1	Eternity Stone	2022-08-14	0
GB1	Guardian Box	2022-08-24	0
GB2	Guardian Box	2022-08-12	0
HOO1	Hand of Oblivion	2022-08-26	0
IS1	Impurity Seal	2022-09-02	0
IQD1	Inscrutable Quantum Device	2022-08-11	0
IOR1	Instrument of Restoration	2022-08-29	0
MM1	Malediction Mirror	2022-08-05	0
MOV1	Mask of Virility	2022-08-13	0
MP1	Massacre Pillar	2022-08-08	0
POD1	Pillar of Dreams	2022-08-27	0
RK1	Revelation Key	2022-08-31	0
SOE1	Shield of Evils	2022-08-24	0
SHOR1	Sulfuras, Hand of Ragnaros		80
SHOR2	Sulfuras, Hand of Ragnaros		70
TS1	Termination Statue	2022-08-12	0
TH1	Thunder Horn	2022-08-11	0
TOF1	Tome of Fate	2022-09-04	0
UOR1	Urn of Riddles	2022-09-06	0
